node,위도,경도,범죄주의구간,,,,
1,37.48863,126.92405,1,,,,
2,37.48887,126.92543,2,,,,
3,37.48819,126.92414,1,,,,
4,37.48844,126.92558,2,,,,
5,37.48773,126.92431,1,,,,
6,37.48798,126.9257,2,,,,
7,37.48856,126.92695,2,,,,
8,37.48907,126.9254,2,,,,
9,37.48824,126.92704,2,,,,
10,37.48838,126.9276,1,,,,
11,37.48856,126.92823,2,,,,
12,37.48906,126.9268,4,,,,
13,37.48942,126.92698,4,,,,
14,37.48893,126.92804,3,,,,
15,37.48727,126.92444,2,,,,
16,37.48908,126.92391,1,,,,
17,37.4875,126.92583,2,,,,
18,37.48776,126.92717,4,,,,
19,37.48778,126.92785,3,,,,
20,37.48679,126.92461,3,,,,
21,37.4869,126.92523,2,,,,
22,37.48705,126.92598,3,,,,
23,37.48722,126.9271,4,,,,
24,37.48728,126.92737,5,,,,
25,37.48741,126.92803,5,,,,
26,37.48924,126.92691,4,,,,
27,37.48755,126.92877,4,,,,
28,37.48775,126.92945,4,,,,
29,37.48865,126.92906,2,,,,
30,37.48836,126.92968,2,,,,
31,37.48806,126.93033,2,,,,
32,37.48773,126.93012,4,,,,
33,37.48934,126.92531,2,,,,
34,37.48734,126.93192,3,,,,
35,37.48635,126.92476,4,,,,
36,37.48641,126.92521,3,,,,
37,37.48647,126.9255,2,,,,
38,37.48652,126.92585,3,,,,
39,37.48659,126.92616,3.5,,,,
40,37.48669,126.92677,4.5,,,,
41,37.48675,126.92726,5,,,,
42,37.48585,126.92485,4,,,,
43,37.48592,126.92519,4,,,,
44,37.48605,126.92578,3,,,,
45,37.48608,126.92612,4,,,,
46,37.48615,126.92635,4,,,,
47,37.48626,126.927,5,,,,
48,37.48634,126.92735,5,,,,
49,37.48552,126.92545,4,,,,
50,37.4856,126.9261,4,,,,
51,37.48567,126.92651,5,,,,
52,37.4858,126.92716,5,,,,
53,37.48581,126.92751,5,,,,
54,37.48972,126.92538,2,,,,
55,37.48955,126.92634,3,,,,
56,37.48915,126.92617,3,,,,
57,37.48617,126.92793,6,,,,
58,37.48943,126.92384,1,,,,
59,37.48632,126.92856,8,,,,
60,37.48695,126.9256,2,,,,
61,37.48655,126.92921,8,,,,
62,37.4859,126.92802,6,,,,
63,37.48612,126.92866,9,,,,
64,37.48631,126.92927,9,,,,
65,37.48653,126.93002,8,,,,
66,37.4867,126.9305,7,,,,
67,37.48651,126.93144,4,,,,
68,37.48624,126.93209,3,,,,
69,37.48671,126.9324,2,,,,
70,37.48643,126.93341,1,,,,
71,37.48598,126.93074,6,,,,
72,37.487,126.93171,3.5,,,,
73,37.48532,126.92515,3,,,,
74,37.48512,126.92603,5,,,,
75,37.48514,126.92669,6,,,,
76,37.48526,126.92733,5,,,,
77,37.4853,126.92764,4,,,,
78,37.48476,126.92641,6,,,,
79,37.48478,126.92692,7,,,,
80,37.48489,126.92758,5,,,,
81,37.48504,126.9283,5,,,,
82,37.48509,126.92864,6,,,,
83,37.48527,126.92956,8,,,,
84,37.4854,126.9303,9,,,,
85,37.4855,126.93086,7,,,,
86,37.48576,126.93226,4.5,,,,
87,37.48592,126.93344,2,,,,
88,37.48491,126.92975,7.5,,,,
89,37.48461,126.92952,10,,,,
90,37.4851,126.93099,8,,,,
91,37.48527,126.93243,7,,,,
92,37.48542,126.93342,3,,,,
93,37.48408,126.92734,8,,,,
94,37.48416,126.92804,7,,,,
95,37.48455,126.93106,6,,,,
96,37.48477,126.93247,7,,,,
97,37.48491,126.93343,4,,,,
117,37.485,126.93418,3,,,,
118,37.48543,126.93416,3,,,,
120,37.48974,126.92382,0,,,,
121,37.48911,126.92803,3,,,,
122,37.4867,126.93346,1,,,,
123,37.4864,126.9342,1,,,,
124,37.48596,126.92824,5,,,,
125,37.48516,126.929,6,,,,
126,37.4852,126.92704,4,,,,
127,37.48482,126.92718,5,,,,
128,37.48488,126.92743,5,,,,
129,37.48495,126.92773,4,,,,
130,37.48582,126.92776,4,,,,
131,37.48498,126.92796,4,,,,
132,37.48415,126.92768,7,,,,
133,37.48563,126.92626,3,,,,
134,37.48513,126.92634,4,,,,
135,37.48533,126.92535,3,,,,
136,37.48612,126.92938,9,,,,
137,37.48628,126.93005,7,,,,
138,37.48563,126.93026,8,,,,
139,37.48572,126.93076,6,,,,
140,37.48601,126.93107,4,,,,
141,37.48555,126.9312,6,,,,
142,37.48568,126.93188,5,,,,
143,37.48611,126.93176,4,,,,
144,37.48616,126.93489,1,,,,
145,37.48601,126.93527,1,,,,
146,37.48586,126.9356,1,,,,
147,37.48568,126.93601,1,,,,
148,37.48545,126.93492,2,,,,
149,37.48547,126.93525,2,,,,
150,37.48545,126.93562,2,,,,
151,37.48543,126.93587,2,,,,
152,37.48499,126.93575,2,,,,
153,37.4852,126.93416,4,,,,
154,37.48514,126.93345,4,,,,
155,37.48444,126.92603,4,,,,
156,37.48481,126.92548,5,,,,
157,37.48571,126.92467,3,,,,
158,37.48664,126.92386,3,,,,
159,37.48622,126.92684,4,,,,
160,37.48574,126.92693,4,,,,
161,37.48906,126.92491,1,,,,
162,37.48879,126.92489,1,,,,
163,37.48497,126.92572,4,,,,
164,37.48458,126.92621,6,,,,
165,37.48639,126.93308,1,,,,
166,37.48676,126.9309,5,,,,
